dutch,english,topic,section,example
over ... heen,on top of,Topic 9,Returning packages,Ik ga over ... heen.
pakket,package,Topic 9,Returning packages,Ik zie pakket.
plakken,to stick,Topic 9,Returning packages,Ik ga plakken.
reden,reason,Topic 9,Returning packages,Ik ga reden.
retour,return,Topic 9,Returning packages,Ik zie retour.
sok,sock,Topic 9,Returning packages,Ik zie sok.
stap,step,Topic 9,Returning packages,Ik zie stap.
sticker,sticker,Topic 9,Returning packages,Ik zie sticker.
verkeerd,wrong,Topic 9,Returning packages,Ik zie verkeerd.
vervolgens,thereafter,Topic 9,Returning packages,Ik zie vervolgens.
verzendbewijs,proof of shipment,Topic 9,Returning packages,Ik zie verzendbewijs.
verzenden,to send,Topic 9,Returning packages,Ik ga verzenden.
wachtwoord,password,Topic 9,Returning packages,Ik zie wachtwoord.
webwinkel,webshop,Topic 9,Returning packages,Ik zie webwinkel.
totaal,total,Topic 9,Returning packages,Ik zie totaal.
raken,to hit,Topic 10,Stop here,Ik ga raken.
agent,police officer,Topic 10,Stop here,Ik zie agent.
baas,boss,Topic 10,Stop here,Ik zie baas.
belachelijk,ridiculous,Topic 10,Stop here,Dat is belachelijk.
beloven,to promise,Topic 10,Stop here,Ik ga beloven.
boete,fine,Topic 10,Stop here,Ik zie boete.
hetzelfde,the same,Topic 10,Stop here,Ik zie hetzelfde.
fietser,cyclist,Topic 10,Stop here,Ik zie fietser.
fietspad,bike path,Topic 10,Stop here,Ik zie fietspad.
gevaarlijk,dangerous,Topic 10,Stop here,Dat is gevaarlijk.
haast,hurry,Topic 10,Stop here,Ik zie haast.
helm,helmet,Topic 10,Stop here,Ik zie helm.
identiteitsbewijs,proof of identity,Topic 10,Stop here,Ik zie identiteitsbewijs.
onderweg,on the way,Topic 10,Stop here,Ik zie onderweg.
onveilig,unsafe,Topic 10,Stop here,Het is onveilig weer.
politie,police,Topic 10,Stop here,Ik zie politie.
regel,rule,Topic 10,Stop here,Ik zie regel.
stoep,sidewalk,Topic 10,Stop here,Ik zie stoep.
stoplicht,traffic light,Topic 10,Stop here,Ik zie stoplicht.
tegenwoordig,nowadays,Topic 10,Stop here,Het is tegenwoordig weer.
uitkijken,to watch out,Topic 10,Stop here,Ik ga uitkijken.
uitzondering,exception,Topic 10,Stop here,Ik zie uitzondering.
veilig,safe,Topic 10,Stop here,Het is veilig weer.
veranderen,to change,Topic 10,Stop here,Ik ga veranderen.
voetganger,pedestrian,Topic 10,Stop here,Ik zie voetganger.
zebrapad,zebra crossing,Topic 10,Stop here,Ik zie zebrapad.
arm,arm,Topic 10,What happened,Ik zie arm.
been,leg,Topic 10,What happened,Ik ga been.
brand,fire,Topic 10,What happened,Ik zie brand.
breken,to break,Topic 10,What happened,Ik ga breken.
dagelijks,daily,Topic 10,What happened,Ik zie dagelijks.
douchen,to shower,Topic 10,What happened,Ik ga douchen.
fornuis,stove,Topic 10,What happened,Ik zie fornuis.
fout,wrong,Topic 10,What happened,Ik zie fout.
gewond,injured,Topic 10,What happened,Ik zie gewond.
hand,hand,Topic 10,What happened,Ik zie hand.
heet,hot,Topic 10,What happened,Ik zie heet.
mes,knife,Topic 10,What happened,Ik zie mes.
ondertussen,meanwhile,Topic 10,What happened,Ik ga ondertussen.
onhandig,clumsy,Topic 10,What happened,Het is onhandig weer.
oorzaak,cause,Topic 10,What happened,Ik zie oorzaak.
overlijden,to die,Topic 10,What happened,Ik ga overlijden.
pan,pan,Topic 10,What happened,Ik zie pan.
schoonmaakmiddel,cleaning product,Topic 10,What happened,Ik zie schoonmaakmiddel.
schrikken,to get scared,Topic 10,What happened,Ik ga schrikken.
snijden,to cut,Topic 10,What happened,Ik ga snijden.
televisie,television,Topic 10,What happened,Ik zie televisie.
uitzetten,to turn off,Topic 10,What happened,Ik ga uitzetten.
vallen,to fall,Topic 10,What happened,Ik ga vallen.
verbranden,to burn,Topic 10,What happened,Ik ga verbranden.
voorkomen,to prevent,Topic 10,What happened,Ik ga voorkomen.
weggaan,to leave,Topic 10,What happened,Ik zie weggaan.
actie,action,Topic 10,Life threatening,Ik zie actie.
basisschool,primary school,Topic 10,Life threatening,Ik zie basisschool.
einde,end,Topic 10,Life threatening,Ik zie einde.
handtekening,signature,Topic 10,Life threatening,Ik zie handtekening.
hard,hard,Topic 10,Life threatening,Ik zie hard.
heleboel,lot of,Topic 10,Life threatening,Ik zie heleboel.
hopen,to hope,Topic 10,Life threatening,Ik ga hopen.
kapot,broken,Topic 10,Life threatening,Ik zie kapot.
kilometer,kilometre,Topic 10,Life threatening,Ik zie kilometer.
kruispunt,intersection,Topic 10,Life threatening,Ik zie kruispunt.
langzaam,slowly,Topic 10,Life threatening,Ik zie langzaam.
neerzetten,to install,Topic 10,Life threatening,Ik ga neerzetten.
overkant,other side (of the road),Topic 10,Life threatening,Ik zie overkant.
oversteken,to cross,Topic 10,Life threatening,Ik ga oversteken.
radio,radio,Topic 10,Life threatening,Ik zie radio.
repareren,to repair,Topic 10,Life threatening,Ik ga repareren.
snelheid,speed,Topic 10,Life threatening,Ik zie snelheid.
toen,then,Topic 10,Life threatening,Ik ga toen.
verlichting,lighting,Topic 10,Life threatening,Ik zie verlichting.
vorig,last,Topic 10,Life threatening,Het is vorig weer.
weg,road,Topic 10,Life threatening,Ik ga weg.
wijk,neighbourhood,Topic 10,Life threatening,Ik zie wijk.
zwanger,pregnant,Topic 10,Life threatening,Ik zie zwanger.
alarmnummer,emergency number,Topic 10,Speaking to police,Ik zie alarmnummer.
ambulance,ambulance,Topic 10,Speaking to police,Ik zie ambulance.
brandweer,fire department,Topic 10,Speaking to police,Ik zie brandweer.
daarna,after that,Topic 10,Speaking to police,Ik zie daarna.
deur,door,Topic 10,Speaking to police,Ik zie deur.
dief,thief,Topic 10,Speaking to police,Ik zie dief.
getuige,witness,Topic 10,Speaking to police,Ik zie getuige.
geweld,violence,Topic 10,Speaking to police,Ik zie geweld.
inbreker,burglar,Topic 10,Speaking to police,Ik zie inbreker.
jongere,youngster,Topic 10,Speaking to police,Ik zie jongere.
melden,to report,Topic 10,Speaking to police,Ik ga melden.
melding,notification,Topic 10,Speaking to police,Ik zie melding.
meteen,right away,Topic 10,Speaking to police,Ik ga meteen.
noodgeval,emergency,Topic 10,Speaking to police,Ik zie noodgeval.
om ... heen,around,Topic 10,Speaking to police,Ik ga om ... heen.
pagina,page,Topic 10,Speaking to police,Ik zie pagina.
politiebureau,police station,Topic 10,Speaking to police,Ik zie politiebureau.
slot,lock,Topic 10,Speaking to police,Ik zie slot.
stelen,to steal,Topic 10,Speaking to police,Ik ga stelen.
team,team,Topic 10,Speaking to police,Ik zie team.
twijfelen,to doubt,Topic 10,Speaking to police,Ik ga twijfelen.
veiligheid,safety,Topic 10,Speaking to police,Ik zie veiligheid.
vertrouwen,to trust,Topic 10,Speaking to police,Ik ga vertrouwen.
vreemd,strange,Topic 10,Speaking to police,Ik zie vreemd.
waarschuwen,to warn,Topic 10,Speaking to police,Ik ga waarschuwen.
agenda,agenda,Topic 11,Are you coming?,Ik zie agenda.
als,when,Topic 11,Are you coming?,Ik zie als.
behoorlijk,rather,Topic 11,Are you coming?,Dat is behoorlijk.
binnenkort,soon,Topic 11,Are you coming?,Ik zie binnenkort.
gelijk,immediately,Topic 11,Are you coming?,Dat is gelijk.
heerlijk,delicious,Topic 11,Are you coming?,Dat is heerlijk.
hockey,field hockey,Topic 11,Are you coming?,Ik zie hockey.
lastig,difficult,Topic 11,Are you coming?,Het is lastig weer.
meegaan,to come along,Topic 11,Are you coming?,Ik zie meegaan.
omdat,because,Topic 11,Are you coming?,Ik zie omdat.
plezier,pleasure,Topic 11,Are you coming?,Ik zie plezier.
sauna,sauna,Topic 11,Are you coming?,Ik zie sauna.
sowieso,no matter what,Topic 11,Are you coming?,Ik zie sowieso.
speciaal,special,Topic 11,Are you coming?,Ik zie speciaal.
strand,beach,Topic 11,Are you coming?,Ik zie strand.
trainen,to train,Topic 11,Are you coming?,Ik ga trainen.
training,training,Topic 11,Are you coming?,Ik zie training.
veld,field,Topic 11,Are you coming?,Ik zie veld.
volwassene,adult,Topic 11,Are you coming?,Ik zie volwassene.
voorlopig,for the time being,Topic 11,Are you coming?,Het is voorlopig weer.
wandelen,to walk,Topic 11,Are you coming?,Ik ga wandelen.
wedstrijd,match,Topic 11,Are you coming?,Ik zie wedstrijd.
zwembad,swimming pool,Topic 11,Are you coming?,Ik zie zwembad.
zwemmen,to swim,Topic 11,Are you coming?,Ik ga zwemmen.
bedenken,to think of,Topic 11,Can I say no,Ik ga bedenken.
bovendien,in addition,Topic 11,Can I say no,Ik ga bovendien.
durven,to dare,Topic 11,Can I say no,Ik ga durven.
egoïstisch,selfish,Topic 11,Can I say no,Ik zie egoïstisch.
examen,exam,Topic 11,Can I say no,Ik ga examen.
excuus,excuse,Topic 11,Can I say no,Ik zie excuus.
kwaad,angry,Topic 11,Can I say no,Ik zie kwaad.
liegen,to lie,Topic 11,Can I say no,Ik ga liegen.
logeren,to stay over,Topic 11,Can I say no,Ik ga logeren.
moeite,trouble,Topic 11,Can I say no,Ik zie moeite.
neef,nephew,Topic 11,Can I say no,Ik zie neef.
nicht,niece,Topic 11,Can I say no,Ik zie nicht.
ontdekken,to discover,Topic 11,Can I say no,Ik ga ontdekken.
oppassen op,to care for,Topic 11,Can I say no,Ik zie oppassen op.
plan,plan,Topic 11,Can I say no,Ik zie plan.
reizen,to travel,Topic 11,Can I say no,Ik ga reizen.
schoonouders,parents-in-law,Topic 11,Can I say no,Ik zie schoonouders.
smoes,excuse,Topic 11,Can I say no,Ik zie smoes.
verzinnen,to make up,Topic 11,Can I say no,Ik ga verzinnen.
vriendschap,friendship,Topic 11,Can I say no,Ik zie vriendschap.
waarheid,truth,Topic 11,Can I say no,Ik zie waarheid.
zwager,brother-in-law,Topic 11,Can I say no,Ik zie zwager.
afgesproken,it's a deal,Topic 11,Can you cover for me,Afgesproken! Tot morgen.
bar,bar,Topic 11,Can you cover for me,Ik zie bar.
bardienst,bar duty,Topic 11,Can you cover for me,Ik zie bardienst.
beurt,turn,Topic 11,Can you cover for me,Ik zie beurt.
dienst,duty,Topic 11,Can you cover for me,Ik zie dienst.
herfst,autumn,Topic 11,Can you cover for me,Ik zie herfst.
hierheen,over here,Topic 11,Can you cover for me,Ik ga hierheen.
hoezo,why do you ask?,Topic 11,Can you cover for me,Ik zie hoezo.
kantine,canteen,Topic 11,Can you cover for me,Ik zie kantine.
oom,uncle,Topic 11,Can you cover for me,Ik zie oom.
overnemen,to take over,Topic 11,Can you cover for me,Ik ga overnemen.
regen,rain,Topic 11,Can you cover for me,Ik ga regen.
rooster,schedule,Topic 11,Can you cover for me,Ik zie rooster.
schoolplein,schoolyard,Topic 11,Can you cover for me,Ik zie schoolplein.
super,super,Topic 11,Can you cover for me,Ik zie super.
tante,aunt,Topic 11,Can you cover for me,Ik zie tante.
tentoonstelling,exhibition,Topic 11,Can you cover for me,Ik zie tentoonstelling.
vereniging,association,Topic 11,Can you cover for me,Ik zie vereniging.
vieren,to celebrate,Topic 11,Can you cover for me,Ik ga vieren.
vrijwilligerswerk,volunteer work,Topic 11,Can you cover for me,Ik zie vrijwilligerswerk.
wind,wind,Topic 11,Can you cover for me,Ik zie wind.
zonde,a waste,Topic 11,Can you cover for me,Ik zie zonde.
aflopen,to end,Topic 11,We are free on sunday,Ik ga aflopen.
bedrijf,company,Topic 11,We are free on sunday,Ik zie bedrijf.
behalve,except,Topic 11,We are free on sunday,Ik zie behalve.
christelijk,Christian,Topic 11,We are free on sunday,Dat is christelijk.
datum,date,Topic 11,We are free on sunday,Ik zie datum.
enzovoorts,and so on,Topic 11,We are free on sunday,Ik zie enzovoorts.
Europees,European,Topic 11,We are free on sunday,Ik zie Europees.
Hemelvaart,Ascension Day,Topic 11,We are free on sunday,Ik zie Hemelvaart.
herdenken,to commemorate,Topic 11,We are free on sunday,Ik ga herdenken.
Kerstmis,Christmas,Topic 11,We are free on sunday,Ik zie Kerstmis.
koning,king,Topic 11,We are free on sunday,Ik zie koning.
Koningsdag,King's Day,Topic 11,We are free on sunday,Ik zie Koningsdag.
midden,middle,Topic 11,We are free on sunday,Ik ga midden.
noorden,north,Topic 11,We are free on sunday,Ik ga noorden.
officieel,official,Topic 11,We are free on sunday,Ik zie officieel.
oorlog,war,Topic 11,We are free on sunday,Ik zie oorlog.
optreden,performance,Topic 11,We are free on sunday,Ik ga optreden.
oranje,orange,Topic 11,We are free on sunday,Ik zie oranje.
oud en nieuw,New Year's Eve and New Year's Day,Topic 11,We are free on sunday,Ik zie oud en nieuw.
Pasen,Easter,Topic 11,We are free on sunday,Ik ga Pasen.
Pinksteren,Pentecost,Topic 11,We are free on sunday,Ik ga Pinksteren.
regio,region,Topic 11,We are free on sunday,Ik zie regio.
respect,respect,Topic 11,We are free on sunday,Ik zie respect.
scholier,schoolkid,Topic 11,We are free on sunday,Ik zie scholier.
slachtoffer,victim,Topic 11,We are free on sunday,Ik zie slachtoffer.
stil,silent,Topic 11,We are free on sunday,Ik zie stil.
traditie,tradition,Topic 11,We are free on sunday,Ik zie traditie.
voorjaar,spring,Topic 11,We are free on sunday,Ik zie voorjaar.
zuiden,south,Topic 11,We are free on sunday,Ik ga zuiden.
aardrijkskunde,geography,Topic 12,learning and studying - basischool,Ik leer aardrijkskunde.
bedrag,amount,Topic 12,learning and studying - basischool,Ik zie bedrag.
biologie,biology,Topic 12,learning and studying - basischool,Ik leer biologie.
bouwen,to build,Topic 12,learning and studying - basischool,Ik ga bouwen.
eerder,earlier,Topic 12,learning and studying - basischool,Ik zie eerder.
Engels,English,Topic 12,learning and studying - basischool,Ik leer Engels.
geschiedenis,history,Topic 12,learning and studying - basischool,Ik leer geschiedenis.
gymnastiek,physical education,Topic 12,learning and studying - basischool,Ik doe gymnastiek.
klas,class,Topic 12,learning and studying - basischool,Ik zie klas.
knutselen,to do crafts,Topic 12,learning and studying - basischool,Ik ga knutselen.
leerling,pupil,Topic 12,learning and studying - basischool,Ik zie leerling.
lokaal,classroom,Topic 12,learning and studying - basischool,Ik zie lokaal.
meester,male teacher,Topic 12,learning and studying - basischool,Ik zie meester.
omgaan met,to interact with,Topic 12,learning and studying - basischool,Ik ga omgaan met.
ontwikkeling,development,Topic 12,learning and studying - basischool,Ik zie ontwikkeling.
pauze,break,Topic 12,learning and studying - basischool,Ik zie pauze.
prestatie,achievement,Topic 12,learning and studying - basischool,Ik zie prestatie.
rekenen,maths,Topic 12,learning and studying - basischool,Ik leer rekenen.
religie,religion,Topic 12,learning and studying - basischool,Ik leer religie.
rennen,to run,Topic 12,learning and studying - basischool,Ik ga rennen.
schoolreisje,school trip,Topic 12,learning and studying - basischool,Ik ga op schoolreisje.
uitstapje,outing,Topic 12,learning and studying - basischool,Ik ga op uitstapje.
uniform,uniform,Topic 12,learning and studying - basischool,Ik zie uniform.
vak,subject,Topic 12,learning and studying - basischool,Ik zie vak.
verplicht,obligated,Topic 12,learning and studying - basischool,Ik zie verplicht.
advocaat,lawyer,Topic 12,Study Plan,Ik zie advocaat.
automonteur,car mechanic,Topic 12,Study Plan,Ik zie automonteur.
beroep,occupation,Topic 12,Study Plan,Ik zie beroep.
beslissen,to decide,Topic 12,Study Plan,Ik ga beslissen.
cijfer,grade,Topic 12,Study Plan,Ik zie cijfer.
diploma,diploma,Topic 12,Study Plan,Ik zie diploma.
elektricien,electrician,Topic 12,Study Plan,Ik zie elektricien.
fysiotherapie,physiotherapy,Topic 12,Study Plan,Ik leer fysiotherapie.
geneeskunde,medicine,Topic 12,Study Plan,Ik studeer geneeskunde.
hbo,higher professional education,Topic 12,Study Plan,Ik ga naar hbo.
inschrijven,to enrol,Topic 12,Study Plan,Ik ga inschrijven.
interessant,interesting,Topic 12,Study Plan,Dat is interessant.
kapper,hairdresser,Topic 12,Study Plan,Ik zie kapper.
keuze,choice,Topic 12,Study Plan,Ik zie keuze.
middelbaar,secondary,Topic 12,Study Plan,Ik zie middelbaar.
minimaal,minimally,Topic 12,Study Plan,Ik zie minimaal.
niveau,level,Topic 12,Study Plan,Ik zie niveau.
onderwijs,education,Topic 12,Study Plan,Ik zie onderwijs.
opleiding,training,Topic 12,Study Plan,Ik zie opleiding.
praktisch,practical,Topic 12,Study Plan,Dat is praktisch.
slagen,to pass (an exam),Topic 12,Study Plan,Ik ga slagen.
theoretisch,theoretical,Topic 12,Study Plan,Dat is theoretisch.
toekomst,future,Topic 12,Study Plan,Ik zie toekomst.
universiteit,university,Topic 12,Study Plan,Ik ga naar universiteit.
vroeger,in the old days,Topic 12,Study Plan,Ik zie vroeger.
wetenschappelijk,scientific,Topic 12,Study Plan,Dat is wetenschappelijk.
zenuwachtig,nervous,Topic 12,Study Plan,Ik ben zenuwachtig.
aandacht,attention,Topic 12,middelbare school,Ik heb aandacht.
actief,active,Topic 12,middelbare school,Ik ben actief.
bezoeken,to visit,Topic 12,middelbare school,Ik ga bezoeken.
bijbaantje,job on the side,Topic 12,middelbare school,Ik heb een bijbaantje.
bijles,extra lesson,Topic 12,middelbare school,Ik krijg bijles.
bijzonder,special,Topic 12,middelbare school,Dat is bijzonder.
campus,campus,Topic 12,middelbare school,Ik zie campus.
Chinees,Chinese,Topic 12,middelbare school,Ik leer Chinees.
gemotiveerd,motivated,Topic 12,middelbare school,Ik ben gemotiveerd.
nauwelijks,barely,Topic 12,middelbare school,Ik zie nauwelijks.
ontzettend,extremely,Topic 12,middelbare school,Dat is ontzettend.
opvallen,to stand out,Topic 12,middelbare school,Ik ga opvallen.
piano,piano,Topic 12,middelbare school,Ik speel piano.
positief,positive,Topic 12,middelbare school,Dat is positief.
presentatie,presentation,Topic 12,middelbare school,Ik geef een presentatie.
presteren,to perform,Topic 12,middelbare school,Ik ga presteren.
reis,trip,Topic 12,middelbare school,Ik ga op reis.
samenwerken,to collaborate,Topic 12,middelbare school,Ik ga samenwerken.
sportclub,sports club,Topic 12,middelbare school,Ik zie sportclub.
trouwens,by the way,Topic 12,middelbare school,Trouwens dat is waar.
volgen,to follow,Topic 12,middelbare school,Ik ga volgen.
workshop,workshop,Topic 12,middelbare school,Ik doe een workshop.
afhangen van,to depend on,Topic 12,Learning Dutch,Het hangt af van de situatie.
Arabisch,Arabic,Topic 12,Learning Dutch,Ik leer Arabisch.
bedoeling,intention,Topic 12,Learning Dutch,Wat is de bedoeling?
bereiken,to achieve,Topic 12,Learning Dutch,Ik ga mijn doel bereiken.
bestaan,to exist,Topic 12,Learning Dutch,Dat bestaat niet.
besteden,to spend,Topic 12,Learning Dutch,Ik besteed tijd aan studie.
dichtbij,close to,Topic 12,Learning Dutch,De school is dichtbij.
doel,goal,Topic 12,Learning Dutch,Mijn doel is Nederlands leren.
doorgaan,to go through,Topic 12,Learning Dutch,Ik ga door met studeren.
Duits,German,Topic 12,Learning Dutch,Ik leer Duits.
gemakkelijk,easy,Topic 12,Learning Dutch,Nederlands is gemakkelijk.
grammatica,grammar,Topic 12,Learning Dutch,Ik leer Nederlandse grammatica.
interview,interview,Topic 12,Learning Dutch,Ik heb een interview.
invloed,influence,Topic 12,Learning Dutch,Dat heeft invloed op mij.
klank,sound,Topic 12,Learning Dutch,Die klank is moeilijk.
lesmethode,teaching method,Topic 12,Learning Dutch,Deze lesmethode werkt goed.
moedertaal,native language,Topic 12,Learning Dutch,Mijn moedertaal is Engels.
motivatie,motivation,Topic 12,Learning Dutch,Ik heb veel motivatie.
negatief,negative,Topic 12,Learning Dutch,Dat is negatief.
onbekend,unknown,Topic 12,Learning Dutch,Dat woord is onbekend.
staatsexamen NT2,NT2 state exam,Topic 12,Learning Dutch,Ik doe het staatsexamen NT2.
taalcontact,language contact,Topic 12,Learning Dutch,Taalcontact is belangrijk.
uitspraak,pronunciation,Topic 12,Learning Dutch,Mijn uitspraak wordt beter.
uitspreken,to pronounce,Topic 12,Learning Dutch,Ik kan dit woord uitspreken.
voordeel,advantage,Topic 12,Learning Dutch,Dat is een voordeel.
aanrecht,countertop,Topic 13,Getting a DishWasher,Ik zie aanrecht.
afwasmachine,dishwasher,Topic 13,Getting a DishWasher,Ik koop een afwasmachine.
afwassen,to do the dishes,Topic 13,Getting a DishWasher,Ik ga afwassen.
apparaat,device,Topic 13,Getting a DishWasher,Dit apparaat werkt goed.
bord,plate,Topic 13,Getting a DishWasher,Ik zie bord.
drogen,to dry,Topic 13,Getting a DishWasher,Ik ga drogen.
droger,dryer,Topic 13,Getting a DishWasher,Ik gebruik de droger.
droog,dry,Topic 13,Getting a DishWasher,Mijn haar is droog.
elektrisch,electric,Topic 13,Getting a DishWasher,Dit is elektrisch.
föhn,hair dryer,Topic 13,Getting a DishWasher,Ik gebruik een föhn.
haar,hair,Topic 13,Getting a DishWasher,Ik zie haar.
lenen,to borrow,Topic 13,Getting a DishWasher,Ik ga lenen.
mama,mum,Topic 13,Getting a DishWasher,Ik zie mama.
ophangen,to hang up,Topic 13,Getting a DishWasher,Ik ga ophangen.
raar,weird,Topic 13,Getting a DishWasher,Dat is raar.
spannend,exciting,Topic 13,Getting a DishWasher,Dat is spannend.
stofzuiger,vacuum cleaner,Topic 13,Getting a DishWasher,Ik gebruik de stofzuiger.
strijken,to iron,Topic 13,Getting a DishWasher,Ik ga strijken.
strijkijzer,iron,Topic 13,Getting a DishWasher,Ik gebruik het strijkijzer.
tand,tooth,Topic 13,Getting a DishWasher,Ik zie tand.
tandenborstel,toothbrush,Topic 13,Getting a DishWasher,Ik gebruik mijn tandenborstel.
vuil,dirty,Topic 13,Getting a DishWasher,Het bord is vuil.
achteraf,afterwards,Topic 13,Energy Saving,Achteraf betaal ik de rekening.
afschrijven,to take out,Topic 13,Energy Saving,Ik ga geld afschrijven.
bankrekening,bank account,Topic 13,Energy Saving,Ik heb een bankrekening.
besparen,to save,Topic 13,Energy Saving,Ik ga energie besparen.
dak,roof,Topic 13,Energy Saving,Het dak heeft zonnepanelen.
douche,shower,Topic 13,Energy Saving,Ik neem een douche.
elektriciteit,electricity,Topic 13,Energy Saving,Ik gebruik elektriciteit.
energie,energy,Topic 13,Energy Saving,Ik bespaar energie.
gas,gas,Topic 13,Energy Saving,Ik kook op gas.
genieten,to enjoy,Topic 13,Energy Saving,Ik geniet van de warmte.
kosten,costs,Topic 13,Energy Saving,De kosten zijn hoog.
leverancier,supplier,Topic 13,Energy Saving,Mijn energieleverancier is goed.
leveren,to supply,Topic 13,Energy Saving,Ze leveren stroom.
maandelijks,monthly,Topic 13,Energy Saving,Ik betaal maandelijks.
molen,mill,Topic 13,Energy Saving,De windmolen draait.
onmiddellijk,immediately,Topic 13,Energy Saving,Ik doe het onmiddellijk.
opladen,to charge,Topic 13,Energy Saving,Ik ga mijn telefoon opladen.
plaatsen,to install,Topic 13,Energy Saving,Ik ga zonnepanelen plaatsen.
rekening,bill,Topic 13,Energy Saving,Ik krijg een rekening.
steken,to plug,Topic 13,Energy Saving,Ik steek de stekker erin.
stekker,plug,Topic 13,Energy Saving,De stekker zit in het stopcontact.
stopcontact,socket,Topic 13,Energy Saving,Het stopcontact werkt niet.
storing,outage,Topic 13,Energy Saving,Er is een storing.
stroom,power,Topic 13,Energy Saving,De stroom is uitgevallen.
verwarming,heating,Topic 13,Energy Saving,De verwarming staat aan.
voorschot,advance,Topic 13,Energy Saving,Ik betaal een voorschot.
zonnepaneel,solar panel,Topic 13,Energy Saving,Ik heb zonnepanelen op mijn dak.
aanstaan,to be turned on,Topic 13,Good Tips for Energy,De verwarming staat aan.
aanzetten,to turn on,Topic 13,Good Tips for Energy,Ik ga de lamp aanzetten.
bekend,known,Topic 13,Good Tips for Energy,Dat is bekend.
controleren,to check,Topic 13,Good Tips for Energy,Ik ga de rekening controleren.
deken,blanket,Topic 13,Good Tips for Energy,Ik gebruik een warme deken.
duurzaam,sustainable,Topic 13,Good Tips for Energy,Dat is duurzaam.
eenvoudig,simple,Topic 13,Good Tips for Energy,Dat is eenvoudig.
halfvol,half full,Topic 13,Good Tips for Energy,Het glas is halfvol.
handdoek,towel,Topic 13,Good Tips for Energy,Ik gebruik een handdoek.
laken,sheet,Topic 13,Good Tips for Energy,Ik verschoon het laken.
merken,to notice,Topic 13,Good Tips for Energy,Ik merk het verschil.
ondergoed,underwear,Topic 13,Good Tips for Energy,Ik was mijn ondergoed.
pyjama,pyjamas,Topic 13,Good Tips for Energy,Ik trek mijn pyjama aan.
rij,row,Topic 13,Good Tips for Energy,Ik sta in de rij.
temperatuur,temperature,Topic 13,Good Tips for Energy,De temperatuur is laag.
tiental,ten,Topic 13,Good Tips for Energy,Een tiental mensen komt.
toilet,toilet,Topic 13,Good Tips for Energy,Ik ga naar het toilet.
uitdoen,to switch off,Topic 13,Good Tips for Energy,Ik doe het licht uit.
uiteindelijk,in the end,Topic 13,Good Tips for Energy,Uiteindelijk lukt het.
verlaten,to leave,Topic 13,Good Tips for Energy,Ik ga het huis verlaten.
verstandig,sensible,Topic 13,Good Tips for Energy,Dat is verstandig.
vervangen,to replace,Topic 13,Good Tips for Energy,Ik ga de lamp vervangen.
vriezer,freezer,Topic 13,Good Tips for Energy,Het eten zit in de vriezer.
vullen,to fill,Topic 13,Good Tips for Energy,Ik ga het bad vullen.
zuinig,energy efficient,Topic 13,Good Tips for Energy,Deze wasmachine is zuinig.
afhankelijk,depending,Topic 13,home service,Het is afhankelijk van het weer.
bevroren,frozen,Topic 13,home service,Het water is bevroren.
branden,to light up,Topic 13,home service,Het licht gaat branden.
draaien,to turn,Topic 13,home service,Ik ga de knop draaien.
drukken,to press,Topic 13,home service,Ik ga op de knop drukken.
drukte,busyness,Topic 13,home service,Er is veel drukte.
ergens,somewhere,Topic 13,home service,Het ligt ergens.
gisteren,yesterday,Topic 13,home service,Gisteren was het koud.
knop,button,Topic 13,home service,Ik druk op de knop.
kwartier,quarter of an hour,Topic 13,home service,Ik wacht een kwartier.
lekken,to leak,Topic 13,home service,De kraan gaat lekken.
lukken,to succeed,Topic 13,home service,Het gaat lukken.
magnetron,microwave,Topic 13,home service,Ik gebruik de magnetron.
monteur,mechanic,Topic 13,home service,De monteur komt morgen.
nat,wet,Topic 13,home service,Mijn kleren zijn nat.
opzoeken,to look up,Topic 13,home service,Ik ga het opzoeken.
oven,oven,Topic 13,home service,Ik bak in de oven.
programma,programme,Topic 13,home service,Ik kies een programma.
scherm,screen,Topic 13,home service,Het scherm is kapot.
stuk,broken,Topic 13,home service,De wasmachine is stuk.
telkens,every time,Topic 13,home service,Telkens gebeurt hetzelfde.
tijdstip,time,Topic 13,home service,Op welk tijdstip komt hij?
type,type,Topic 13,home service,Welk type heb je nodig?
wassen,to wash,Topic 13,home service,Ik ga de was doen.
zolder,attic,Topic 13,home service,Op zolder staat veel spullen.
bloedheet,very hot,Topic 14,Family Visiting,Het is bloedheet vandaag.
cadeau,gift,Topic 14,Family Visiting,Ik geef een cadeau.
extra,extra,Topic 14,Family Visiting,Ik neem extra kleren mee.
hotel,hotel,Topic 14,Family Visiting,We slapen in een hotel.
jaloers,jealous,Topic 14,Family Visiting,Ik ben jaloers op je.
jazeker,absolutely,Topic 14,Family Visiting,Jazeker ga ik mee.
klimaat,climate,Topic 14,Family Visiting,Het klimaat is warm.
laten zien,to show,Topic 14,Family Visiting,Ik ga je de stad laten zien.
meemaken,to experience,Topic 14,Family Visiting,Ik ga veel meemaken.
natuur,nature,Topic 14,Family Visiting,De natuur is prachtig.
nul,zero,Topic 14,Family Visiting,Het is nul graden.
oma,grandma,Topic 14,Family Visiting,Ik bezoek mijn oma.
perfect,perfect,Topic 14,Family Visiting,Het weer is perfect.
schijnen,to shine,Topic 14,Family Visiting,De zon gaat schijnen.
tijdelijk,temporarily,Topic 14,Family Visiting,Ik blijf tijdelijk hier.
